"","id","user_id","quality_grade","latitude","longitude","species","scientific_name"
"80",1014502,58897,"casual",-43.21243132,171.7567439,"Kea","Nestor notabilis"
"81",1016418,57739,"research",-43.02315695,171.567309,"Kea","Nestor notabilis"
"82",1017559,57805,"research",-44.78622211,168.034936,"Kea","Nestor notabilis"
"83",1033867,60886,"casual",-42.90558352,171.6130709,"Kea","Nestor notabilis"
"84",1062046,58559,"research",-42.93949893,171.5455677,"Kea","Nestor notabilis"
"85",1064354,58559,"research",-42.94541135,171.5674396,"Kea","Nestor notabilis"
"86",1069910,60886,"research",-42.84714888,171.6448544,"Kea","Nestor notabilis"
"87",1090332,1,"research",-42.96144385,171.5903075,"Kea","Nestor notabilis"
"88",1108766,65260,"research",-44.83728227,168.153044,"Kea","Nestor notabilis"
"89",1124452,60886,"casual",-43.81101254,169.9788666,"Kea","Nestor notabilis"
"90",1124454,60886,"casual",-42.90743266,171.7989001,"Kea","Nestor notabilis"
"91",1124464,60886,"research",-43.1294109,171.665119,"Kea","Nestor notabilis"
"92",1124471,60886,"research",-43.00341339,171.4590047,"Kea","Nestor notabilis"
"93",1124488,60886,"casual",-42.89135801,171.4776866,"Kea","Nestor notabilis"
"94",1124498,60886,"casual",-44.24177447,168.9050093,"Kea","Nestor notabilis"
"95",1124501,60886,"casual",-44.30501776,168.9296146,"Kea","Nestor notabilis"
"96",1125773,1115,"research",-42.82957494,171.5540405,"Kea","Nestor notabilis"
"97",1125775,1115,"research",-42.90843108,171.5590755,"Kea","Nestor notabilis"
"98",1160125,13187,"research",-42.91411718,171.4687532,"Kea","Nestor notabilis"
"99",1161480,58459,"research",-42.86571682,171.5289323,"Kea","Nestor notabilis"
"100",1194705,71251,"research",-42.97776645,171.5494186,"Kea","Nestor notabilis"
"101",1227663,2991,"research",-42.70426782,171.6309857,"Kea","Nestor notabilis"
"102",1239431,58591,"casual",-40.60122171,172.4081492,"Kea","Nestor notabilis"
"103",1272371,57782,"casual",-42.90243574,171.9215667,"Kea","Nestor notabilis"
"104",1296714,57527,"research",-42.90368662,171.579521,"Kea","Nestor notabilis"
"105",1307505,56960,"research",-42.60354676,171.7871755,"Kea","Nestor notabilis"
"106",1311179,81280,"casual",-44.71217912,167.8144856,"Kea","Nestor notabilis"
"107",1341611,57588,"research",-43.17387173,171.4958944,"Kea","Nestor notabilis"
"108",1387660,81319,"research",-42.76188064,171.6170507,"Kea","Nestor notabilis"
"109",1398551,58591,"casual",-40.81264927,172.9879274,"Kea","Nestor notabilis"
"110",1435625,57762,"research",-43.62546936,169.6554991,"Kea","Nestor notabilis"
"111",1485639,58489,"casual",-44.99818201,168.6327164,"Kea","Nestor notabilis"
"112",1499577,59227,"research",-42.96941897,171.4928202,"Kea","Nestor notabilis"
"113",1535961,77364,"research",-46.1681134,167.3912113,"Kea","Nestor notabilis"
"114",1647051,77364,"research",-44.54194152,168.878854,"Kea","Nestor notabilis"
"115",1710333,104098,"research",-42.90581821,171.6570987,"Kea","Nestor notabilis"
"116",1767663,116183,"casual",-42.93794736,171.6528651,"Kea","Nestor notabilis"
"117",1767719,116180,"research",-42.88698264,171.6176476,"Kea","Nestor notabilis"
"118",1767764,116187,"research",-42.99034035,171.6451745,"Kea","Nestor notabilis"
"119",1767767,116184,"research",-42.89571339,171.6222413,"Kea","Nestor notabilis"
"120",1767859,116181,"research",-42.95131431,171.501334,"Kea","Nestor notabilis"
"121",10247,516,"research",-41.37383876,174.8108765,"Kaka","Nestor meridionalis"
"122",25977,1506,"research",-41.25738679,174.8517292,"Kaka","Nestor meridionalis"
"123",41260,1506,"research",-41.2373645,174.6880862,"Kaka","Nestor meridionalis"
"124",42755,2991,"research",-46.88187384,168.151861,"Kaka","Nestor meridionalis"
"125",42756,2991,"research",-46.8343998,168.0796323,"Kaka","Nestor meridionalis"
"126",42758,2991,"research",-46.89290266,168.0893534,"Kaka","Nestor meridionalis"
"127",44166,4096,"casual",-36.80235432,174.7458799,"Kaka","Nestor meridionalis"
"128",199678,13200,"research",-40.76936745,175.7284966,"Kaka","Nestor meridionalis"
"129",206174,4733,"research",-45.68337766,170.5631568,"Kaka","Nestor meridionalis"
"130",391901,2370,"research",-38.00647488,175.519961,"Kaka","Nestor meridionalis"
"131",484409,4857,"research",-46.08047037,167.5315831,"Kaka","Nestor meridionalis"
"132",532422,2370,"research",-45.75974769,170.6781383,"Kaka","Nestor meridionalis"
"133",657246,30139,"research",-46.93220606,168.0438157,"Kaka","Nestor meridionalis"
"134",825138,13142,"casual",-40.6500982,175.6187492,"Kaka","Nestor meridionalis"
"135",836617,2991,"research",-40.80905213,174.9465435,"Kaka","Nestor meridionalis"
"136",925498,57006,"casual",-41.30970604,174.8401501,"Kaka","Nestor meridionalis"
"137",941278,1115,"casual",-45.37902648,167.6490044,"Kaka","Nestor meridionalis meridionalis"
"138",943799,57529,"casual",-42.4839724,172.4000955,"Kaka","Nestor meridionalis"
"139",943910,57590,"research",-37.75675041,175.8297161,"Kaka","Nestor meridionalis septentrionalis"
"140",945049,57560,"research",-41.34442422,174.6776027,"Kaka","Nestor meridionalis"
"141",947388,57672,"casual",-42.22102589,172.3166977,"Kaka","Nestor meridionalis meridionalis"
"142",947427,57514,"research",-46.21683361,167.1850844,"Kaka","Nestor meridionalis"
"143",947617,57739,"casual",-41.48406975,173.5223891,"Kaka","Nestor meridionalis"
"144",948971,57514,"casual",-45.17711384,167.1341324,"Kaka","Nestor meridionalis"
"145",949309,57735,"casual",-47.00953247,168.1677525,"Kaka","Nestor meridionalis meridionalis"
"146",950876,57627,"casual",-42.34768129,172.1991047,"Kaka","Nestor meridionalis"
"147",952826,57694,"research",-38.09673325,175.6079262,"Kaka","Nestor meridionalis septentrionalis"
"148",952949,13200,"research",-40.89658291,175.0101815,"Kaka","Nestor meridionalis septentrionalis"
"149",954613,53219,"research",-46.90655861,168.0226538,"Kaka","Nestor meridionalis meridionalis"
"150",955827,58096,"research",-40.74943234,175.724744,"Kaka","Nestor meridionalis"
"151",955961,58096,"research",-41.28422928,174.8360789,"Kaka","Nestor meridionalis"
"152",958160,57894,"casual",-41.2506966,174.8104029,"Kaka","Nestor meridionalis"
"153",958287,57409,"casual",-42.4130816,172.134385,"Kaka","Nestor meridionalis"
"154",960747,57957,"research",-36.41943058,174.2069764,"Kaka","Nestor meridionalis septentrionalis"
"155",963727,57588,"casual",-37.64607092,175.3696189,"Kaka","Nestor meridionalis septentrionalis"
"156",964164,57929,"casual",-37.48087235,175.7585986,"Kaka","Nestor meridionalis septentrionalis"
"157",964784,57957,"research",-36.47796639,174.2920797,"Kaka","Nestor meridionalis"
"158",965033,1115,"casual",-43.38124809,172.5670753,"Kaka","Nestor meridionalis meridionalis"
"159",966338,57929,"casual",-37.60656692,175.7468247,"Kaka","Nestor meridionalis septentrionalis"
"160",966340,58326,"casual",-39.98171516,176.1444335,"Kaka","Nestor meridionalis"
"161",966517,58290,"casual",-41.27544469,174.7800405,"Kaka","Nestor meridionalis"
"162",967348,58290,"casual",-41.30162795,174.8072079,"Kaka","Nestor meridionalis septentrionalis"
"163",969385,58290,"casual",-41.24069158,174.7008585,"Kaka","Nestor meridionalis"
"164",969603,58415,"research",-38.03995278,175.5647261,"Kaka","Nestor meridionalis septentrionalis"
"165",969604,58415,"research",-38.01755593,175.529209,"Kaka","Nestor meridionalis septentrionalis"
"166",969611,58417,"casual",-41.29973403,174.7378438,"Kaka","Nestor meridionalis"
"167",969626,57511,"casual",-37.12415681,175.9379546,"Kaka","Nestor meridionalis"
"168",971170,58444,"casual",-39.07807214,175.7574799,"Kaka","Nestor meridionalis septentrionalis"
"169",971256,58447,"casual",-41.29078025,174.7040072,"Kaka","Nestor meridionalis"
"170",972186,57789,"research",-35.96058243,173.9510395,"Kaka","Nestor meridionalis septentrionalis"
"171",972276,57409,"research",-41.32076447,174.6816802,"Kaka","Nestor meridionalis"
"172",972635,58096,"research",-41.365871,174.7987179,"Kaka","Nestor meridionalis septentrionalis"
"173",973661,58486,"casual",-41.22743841,174.718436,"Kaka","Nestor meridionalis"
"174",973865,58249,"casual",-39.07870746,175.7480564,"Kaka","Nestor meridionalis septentrionalis"
"175",974033,24606,"casual",-41.29782341,174.6889226,"Kaka","Nestor meridionalis septentrionalis"
"176",974045,57793,"research",-46.92342961,168.2098951,"Kaka","Nestor meridionalis"
"177",974199,58249,"casual",-38.99957593,175.7853659,"Kaka","Nestor meridionalis septentrionalis"
"178",974974,58515,"research",-36.70040306,174.6823421,"Kaka","Nestor meridionalis"
