"Site","mean_age","se_age","mean_CO","se_CO","min_MV"
"Clearwater",23.2,1.58324561160506,7.262,1.78107695260792,750.3333333
"Craws Creek",26.2,1.49666295470958,4.795,1.15655450945182,293.8666667
"Lawsons",26.3,1.64688257693808,8.243,1.92402590072656,414.6333333
"Tiwai",28.5,1.88119347460299,5.886,1.11929561183213,759.3333333
