id,observed_on,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
657246,30/01/14,FALSE,30139,ecotype,2014-05-04 15:01:11 UTC,2014-10-19 01:33:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/657246,http://static.inaturalist.org/photos/832376/medium.JPG?1399261662,,2,0,FALSE,,,-46.93220606,168.0438157,,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
825138,31/12/11,FALSE,13142,annwf,2014-08-10 19:07:44 UTC,2014-10-17 22:44:42 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/825138,https://farm4.staticflickr.com/3808/9297619654_c60f8c0308.jpg,Seen at Pukaha Mt. Bruce Wildlife Center The Kaka are free-flying but are fed daily. ,3,0,TRUE,,"Pukaha Mount Bruce Wildlife Centre, State highway 2, north of Masterton, NZ",-40.6500982,175.6187492,188,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
836617,10/01/14,FALSE,2991,sea-kangaroo,2014-08-18 18:42:08 UTC,2014-10-17 22:57:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/836617,http://static.inaturalist.org/photos/1058917/medium.JPG?1408387335,,2,0,FALSE,,"Kapiti Island, New Zealand",-40.80905213,174.9465435,1219,,,manual,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
925498,16/07/08,,57006,rosemary_cole,2009-07-05 12:00:00 UTC,2014-10-13 01:51:58 UTC,casual,,http://www.inaturalist.org/observations/925498,,Lots of waxeyes. ,0,0,FALSE,,NA,-41.30970604,174.8401501,,,,,Wellington City,,Nestor meridionalis,New Zealand Kaka,Animalia,18943
941278,6/09/04,,1115,jon_sullivan,2012-08-15 06:27:17 UTC,2014-10-19 07:03:50 UTC,casual,CC-BY,http://www.inaturalist.org/observations/941278,http://farm9.static.flickr.com/8434/7784187794_ef5fd92bbb.jpg,At the Te Anau wildlife centre,1,0,TRUE,,"Te Anau, Southland, New Zealand",-45.37902648,167.6490044,,,,,,South Island Kaka,Nestor meridionalis meridionalis,South Island Kaka,Aves,413490
943799,6/02/10,,57529,denise-nz,2012-09-08 09:14:52 UTC,2014-10-13 02:23:38 UTC,casual,CC-BY,http://www.inaturalist.org/observations/943799,,"Flying through the beech forest. Pulling bark of a dead tree. These were the first wild kaka Iâ€™ve ever seen, after years of tramping in Canterbury",0,0,FALSE,,Mt Fuast,-42.4839724,172.4000955,500,,,,,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
943910,9/09/12,,57590,ali_gata,2012-09-11 05:50:02 UTC,2014-10-18 01:02:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/943910,http://static.inaturalist.org/photos/1200124/medium.?1413262367,"North Island Kaka, seen in Centennial Drive Matamata",1,0,FALSE,,Matamata,-37.75675041,175.8297161,,,,,,North Island Kaka,Nestor meridionalis septentrionalis,North Island Kaka,Aves,413489
945049,13/04/12,,57560,steveattwood,2012-09-26 08:29:29 UTC,2014-10-18 01:02:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/945049,http://farm6.static.flickr.com/5441/7075795433_aefe4f33eb.jpg,A parrot endemic to the forests of New Zealand.,1,0,FALSE,,"Zealandia, Wellington, New Zealand",-41.34442422,174.6776027,,,,,Wellington City,Kaka,Nestor meridionalis,New Zealand Kaka,Animalia,18943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"There are two subspecies, the North Island KÄÅkÄÅ, Nestor meridionalis septentrionalis, and the South Island KÄÅkÄÅ, N. m. meridionalis. The name KÄÅkÄÅ is a MÄÅori language word meaning &quot;parrot&quot;.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"The New Zealand Kaka is a medium sized parrot, around 45 cm (18 in) in length and weighing about 550 g, and is closely related to the Kea (also native to New Zealand and the worlâ€™d only alipine parrot) but has darker plumage and is more arboreal. The forehead and crown are greyish-white and the nape is greyish-brown. The neck and abdomen are more reddish, while the wings are more brownish. Both sub-species have a strongly patterned brown/green/grey plumage with orange and scarlet flashes under the wings; color variants which show red to yellow coloration especially on the breast are sometimes found.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,The calls include a harsh ka-aa and a whistling u-wiia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"The New Zealand Kaka lives in lowland and mid-altitude native forest. Its strongholds are currently the offshore reserves of Kapiti Island, Codfish Island and Little Barrier Island. It is breeding rapidly in the mainland island sanctuary at Zealandia, Karori Sanctuary, with over 100 chicks hatched since their reintroduction in 2002 to the extent that Wellington, New Zealandâ€™s capital, is now uniquely the only city in New Zealamd where kaka are returning to suburban gardens.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"The New Zealand Kaka, like many parrots, uses its feet to hold its food. It feeds on fruits, berries, seeds, flowers, buds, nectar and invertebrates. It uses its strong beak to shred the cones of the kauri tree to obtain the seeds. It has a brush tongue with which it feeds on nectar, and it uses its strong beak to dig out the grubs of the longhorn beetle.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Kaka make their nests in hollow trees, laying clutches of 2 to 4 eggs in late winter. Both parents assist in feeding the chicks.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"The New Zealand Kaka is considered vulnerabl. It has greatly declined, in part from habitat loss, in part because of introduced wasps, possums and bees, which compete with the New Zealand Kaka for food. Introduced stoats, rats and domestic cats also take a heavy toll of chicks and sitting hens.",,,,,,,,,,,,,,,,,
